PriceSUM,path
2475.75,"[{""name"":DEN},{""flightID"":467,""class"":firstClass,""ticketID"":470,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2966.25,"[{""name"":LAS},{""flightID"":643,""class"":economy,""ticketID"":644,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":firstClass,""ticketID"":470,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2979.0,"[{""name"":DFW},{""flightID"":367,""class"":economy,""ticketID"":368,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":firstClass,""ticketID"":470,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2945.25,"[{""name"":PHX},{""flightID"":471,""class"":economy,""ticketID"":472,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":firstClass,""ticketID"":470,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2835.0,"[{""name"":BIL},{""flightID"":523,""class"":economy,""ticketID"":524,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":firstClass,""ticketID"":470,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2954.75,"[{""name"":BIL},{""flightID"":523,""class"":business,""ticketID"":525,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":firstClass,""ticketID"":470,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1690.5,"[{""name"":BNA},{""flightID"":767,""class"":economy,""ticketID"":768,""airlineName"":20304},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2327.75,"[{""name"":IAH},{""flightID"":527,""class"":business,""ticketID"":529,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2529.75,"[{""name"":SAT},{""flightID"":83,""class"":business,""ticketID"":85,""airlineName"":19977},{""name"":IAH},{""name"":IAH},{""flightID"":527,""class"":business,""ticketID"":529,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2771.0,"[{""name"":BHM},{""flightID"":707,""class"":economy,""ticketID"":708,""airlineName"":20304},{""name"":IAH},{""name"":IAH},{""flightID"":527,""class"":business,""ticketID"":529,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
